model,split,anomali_turu,gercek_anomali,yakalanan_anomali,recall
Isolation Forest,dogrulama,ara_toplam,78,78,1.0
Robust Covariance,dogrulama,ara_toplam,78,78,1.0
One-Class SVM,dogrulama,ara_toplam,78,78,1.0
Local Outlier Factor,dogrulama,ara_toplam,78,78,1.0
Autoencoder,dogrulama,ara_toplam,78,78,1.0
Kesin Kural Katmani,dogrulama,ara_toplam,78,78,1.0
Isolation Forest,dogrulama,dusuk_ondalik_kaymasi,79,42,0.5316
Robust Covariance,dogrulama,dusuk_ondalik_kaymasi,79,52,0.6582
One-Class SVM,dogrulama,dusuk_ondalik_kaymasi,79,43,0.5443
Local Outlier Factor,dogrulama,dusuk_ondalik_kaymasi,79,7,0.0886
Autoencoder,dogrulama,dusuk_ondalik_kaymasi,79,47,0.5949
Kesin Kural Katmani,dogrulama,dusuk_ondalik_kaymasi,79,7,0.0886
Isolation Forest,dogrulama,fatura_no_cakismasi,110,110,1.0
Robust Covariance,dogrulama,fatura_no_cakismasi,110,110,1.0
One-Class SVM,dogrulama,fatura_no_cakismasi,110,110,1.0
Local Outlier Factor,dogrulama,fatura_no_cakismasi,110,110,1.0
Autoencoder,dogrulama,fatura_no_cakismasi,110,110,1.0
Kesin Kural Katmani,dogrulama,fatura_no_cakismasi,110,110,1.0
Isolation Forest,dogrulama,footer_kismi,161,161,1.0
Robust Covariance,dogrulama,footer_kismi,161,161,1.0
One-Class SVM,dogrulama,footer_kismi,161,161,1.0
Local Outlier Factor,dogrulama,footer_kismi,161,160,0.9938
Autoencoder,dogrulama,footer_kismi,161,161,1.0
Kesin Kural Katmani,dogrulama,footer_kismi,161,160,0.9938
Isolation Forest,dogrulama,gecersiz_kimlik_no,78,12,0.1538
Robust Covariance,dogrulama,gecersiz_kimlik_no,78,12,0.1538
One-Class SVM,dogrulama,gecersiz_kimlik_no,78,40,0.5128
Local Outlier Factor,dogrulama,gecersiz_kimlik_no,78,12,0.1538
Autoencoder,dogrulama,gecersiz_kimlik_no,78,13,0.1667
Kesin Kural Katmani,dogrulama,gecersiz_kimlik_no,78,12,0.1538
Isolation Forest,dogrulama,gelecek_tarihli,78,78,1.0
Robust Covariance,dogrulama,gelecek_tarihli,78,78,1.0
One-Class SVM,dogrulama,gelecek_tarihli,78,78,1.0
Local Outlier Factor,dogrulama,gelecek_tarihli,78,78,1.0
Autoencoder,dogrulama,gelecek_tarihli,78,78,1.0
Kesin Kural Katmani,dogrulama,gelecek_tarihli,78,78,1.0
Isolation Forest,dogrulama,genel_toplam,78,78,1.0
Robust Covariance,dogrulama,genel_toplam,78,78,1.0
One-Class SVM,dogrulama,genel_toplam,78,78,1.0
Local Outlier Factor,dogrulama,genel_toplam,78,77,0.9872
Autoencoder,dogrulama,genel_toplam,78,78,1.0
Kesin Kural Katmani,dogrulama,genel_toplam,78,77,0.9872
Isolation Forest,dogrulama,is_kolu_kategori_uyumsuzlugu,79,59,0.7468
Robust Covariance,dogrulama,is_kolu_kategori_uyumsuzlugu,79,65,0.8228
One-Class SVM,dogrulama,is_kolu_kategori_uyumsuzlugu,79,79,1.0
Local Outlier Factor,dogrulama,is_kolu_kategori_uyumsuzlugu,79,42,0.5316
Autoencoder,dogrulama,is_kolu_kategori_uyumsuzlugu,79,63,0.7975
Kesin Kural Katmani,dogrulama,is_kolu_kategori_uyumsuzlugu,79,42,0.5316
Isolation Forest,dogrulama,kdv_tutari,78,73,0.9359
Robust Covariance,dogrulama,kdv_tutari,78,73,0.9359
One-Class SVM,dogrulama,kdv_tutari,78,73,0.9359
Local Outlier Factor,dogrulama,kdv_tutari,78,78,1.0
Autoencoder,dogrulama,kdv_tutari,78,73,0.9359
Kesin Kural Katmani,dogrulama,kdv_tutari,78,73,0.9359
Isolation Forest,dogrulama,limit_asimi,79,47,0.5949
Robust Covariance,dogrulama,limit_asimi,79,70,0.8861
One-Class SVM,dogrulama,limit_asimi,79,63,0.7975
Local Outlier Factor,dogrulama,limit_asimi,79,7,0.0886
Autoencoder,dogrulama,limit_asimi,79,60,0.7595
Kesin Kural Katmani,dogrulama,limit_asimi,79,7,0.0886
Isolation Forest,dogrulama,mukerrer_fis_yukleme,176,176,1.0
Robust Covariance,dogrulama,mukerrer_fis_yukleme,176,176,1.0
One-Class SVM,dogrulama,mukerrer_fis_yukleme,176,176,1.0
Local Outlier Factor,dogrulama,mukerrer_fis_yukleme,176,176,1.0
Autoencoder,dogrulama,mukerrer_fis_yukleme,176,176,1.0
Kesin Kural Katmani,dogrulama,mukerrer_fis_yukleme,176,176,1.0
Isolation Forest,dogrulama,ondalik_kaymasi,78,54,0.6923
Robust Covariance,dogrulama,ondalik_kaymasi,78,67,0.859
One-Class SVM,dogrulama,ondalik_kaymasi,78,55,0.7051
Local Outlier Factor,dogrulama,ondalik_kaymasi,78,5,0.0641
Autoencoder,dogrulama,ondalik_kaymasi,78,59,0.7564
Kesin Kural Katmani,dogrulama,ondalik_kaymasi,78,4,0.0513
Isolation Forest,dogrulama,satir_toplami,78,78,1.0
